192,0,0,0,11
49,1,16,0,12
50,3,0,38,13
51,5,19,40,14
52,6,21,0,15
53,8,23,43,16
54,10,0,45,17
55,12,26,47,18
56,13,28,0,19
57,15,0,50,20
48,17,31,52,21
189,18,33,0,22
187,20,35,55,23
8,0,0,57,0
81,22,17,37,24
87,24,18,39,25
69,25,20,41,26
82,27,22,42,27
84,29,24,44,28
89,30,25,46,29
85,32,27,48,30
73,34,29,49,31
79,36,30,51,32
80,37,32,53,33
219,39,34,54,34
221,0,36,56,35
220,0,0,58,36
65,41,0,19,37
83,42,38,21,38
68,44,40,23,39
70,46,0,0,40
71,48,43,26,41
72,49,45,28,42
74,51,47,0,43
75,53,0,31,44
76,54,50,33,45
186,56,52,35,46
222,0,0,0,47
90,58,37,20,48
88,60,39,22,49
67,61,41,24,50
86,63,42,25,51
66,65,44,27,52
78,66,46,29,53
77,68,48,30,54
188,70,49,32,55
190,72,51,34,56
191,0,53,36,57
